Team_Name,Wins,Losses,WIN%,Team_Rebounds,Team_Assists,Top_Scorer,Top_Scorer_PPG,Top_3_PPG,Top_10_PPG,Scoring_Concentration,Top_3_APG,Top_10_APG,Assist_Concentration,Top_3_RPG,Top_10_RPG,Rebound_Concentration,Team
Oklahoma City Thunder,61,16,0.792,44.2,25.4,Shai Gilgeous-Alexander,31.6,65.6,134.7,48.7,15.5,31.5,49.21,24.0,49.6,48.39,OKC
San Antonio Spurs,59,19,0.756,47.1,28.0,Victor Wembanyama,24.9,60.099999999999994,130.3,46.12,17.4,31.3,55.59,23.5,50.6,46.44,SAS
Detroit Pistons,57,21,0.731,45.6,27.5,Cade Cunningham,24.5,57.1,123.9,46.09,16.5,32.4,50.93,22.099999999999998,52.0,42.5,DET
Boston Celtics,53,25,0.679,46.5,24.6,Jaylen Brown,28.7,67.1,136.7,49.09,15.899999999999999,30.599999999999998,51.96,26.9,57.7,46.62,BOS
Los Angeles Lakers,50,27,0.649,41.0,25.4,Luka Dončić,33.5,77.4,139.9,55.33,20.700000000000003,31.5,65.71,21.9,47.3,46.3,LAL
Denver Nuggets,50,28,0.641,43.6,28.8,Nikola Jokić,27.9,69.7,144.4,48.27,20.9,36.8,56.79,23.6,51.1,46.18,DEN
New York Knicks,50,28,0.641,46.0,27.5,Jalen Brunson,26.0,63.0,133.1,47.33,15.4,32.0,48.12,28.2,50.9,55.4,NYK
Cleveland Cavaliers,49,29,0.628,44.3,28.3,Donovan Mitchell,27.7,69.4,147.7,46.99,18.6,37.6,49.47,23.4,52.7,44.4,CLE
Houston Rockets,48,29,0.623,48.0,25.4,Kevin Durant,25.8,64.3,123.4,52.11,16.2,27.6,58.7,25.3,56.4,44.86,HOU
Minnesota Timberwolves,46,31,0.597,44.6,26.1,Anthony Edwards,28.9,64.8,134.9,48.04,12.7,31.3,40.58,24.6,48.6,50.62,MIN
Atlanta Hawks,45,33,0.577,43.4,30.3,Jalen Johnson,22.8,62.1,137.8,45.07,17.7,33.8,52.37,24.700000000000003,53.0,46.6,ATL
Philadelphia 76ers,43,35,0.551,43.3,24.8,Tyrese Maxey,28.7,73.1,147.4,49.59,14.899999999999999,32.1,46.42,21.4,52.300000000000004,40.92,PHI
Phoenix Suns,43,35,0.551,43.0,24.9,Devin Booker,25.7,64.4,136.9,47.04,14.8,29.8,49.66,18.0,45.3,39.74,PHX
Toronto Raptors,43,35,0.551,42.1,29.5,Brandon Ingram,21.4,58.8,126.2,46.59,17.3,32.9,52.58,20.5,47.1,43.52,TOR
Charlotte Hornets,42,36,0.538,46.2,26.4,Brandon Miller,20.4,58.7,128.0,45.86,14.7,29.4,50.0,20.1,50.8,39.57,CHA
Orlando Magic,41,36,0.532,43.1,26.4,Paolo Banchero,22.2,63.5,133.7,47.49,14.7,32.4,45.37,21.3,49.0,43.47,ORL
Miami Heat,41,37,0.526,46.6,28.7,Norman Powell,22.1,63.7,141.7,44.95,15.1,34.2,44.15,24.2,50.1,48.3,MIA
Portland Trail Blazers,40,38,0.513,46.1,25.1,Deni Avdija,23.9,63.9,145.5,43.92,16.6,32.2,51.55,25.5,51.9,49.13,POR
LA Clippers,39,38,0.506,40.5,23.7,Kawhi Leonard,28.0,65.4,130.2,50.23,14.0,28.7,48.78,17.1,41.0,41.71,LAC
Golden State Warriors,36,41,0.468,42.6,29.0,Stephen Curry,27.2,64.5,136.9,47.11,15.100000000000001,34.1,44.28,16.4,44.8,36.61,GSW
Milwaukee Bucks,31,47,0.397,40.7,25.7,Giannis Antetokounmpo,27.6,62.1,141.6,43.86,18.4,34.1,53.96,21.5,49.2,43.7,MIL
Chicago Bulls,29,49,0.372,45.0,28.4,Josh Giddey,17.0,48.5,120.5,40.25,17.8,32.0,55.62,20.8,46.9,44.35,CHI
Memphis Grizzlies,25,53,0.321,42.3,27.9,Ty Jerome,19.7,53.2,138.5,38.41,19.3,43.5,44.37,25.6,59.0,43.39,MEM
New Orleans Pelicans,25,53,0.321,43.7,25.2,Trey Murphy III,21.5,60.1,137.1,43.84,13.9,31.5,44.13,18.8,53.7,35.01,NOP
Dallas Mavericks,24,53,0.312,44.7,25.2,Cooper Flagg,20.8,50.3,123.8,40.63,13.3,28.0,47.5,20.6,54.1,38.08,DAL
Sacramento Kings,21,57,0.269,42.1,25.6,Zach LaVine,19.2,53.6,142.0,37.75,15.0,33.9,44.25,26.3,57.800000000000004,45.5,SAC
Utah Jazz,21,57,0.269,43.6,29.4,Lauri Markkanen,26.7,69.7,159.1,43.81,19.7,43.2,45.6,29.6,70.3,42.11,UTA
Brooklyn Nets,19,59,0.244,39.4,25.2,Michael Porter Jr.,24.2,48.2,110.0,43.82,10.8,28.9,37.37,20.7,46.0,45.0,BKN
Indiana Pacers,18,60,0.231,41.7,27.5,Pascal Siakam,24.0,55.0,126.7,43.41,16.6,33.6,49.4,22.299999999999997,51.2,43.55,IND
Washington Wizards,17,61,0.218,42.1,25.0,Anthony Davis,20.4,54.599999999999994,134.4,40.62,17.1,37.7,45.36,29.3,62.9,46.58,WAS
